"X","DIC","Set","Pattern","Mesh"
17,-597.061082558447,"Set4","Pattern17","Mesh23"
18,-358.341080196275,"Set4","Pattern18","Mesh23"
19,-185.489036877061,"Set4","Pattern19","Mesh23"
20,-722.045555370798,"Set4","Pattern20","Mesh23"
1,-5493.61531092572,"Set1","Pattern1","Mesh24"
2,-4956.56310142568,"Set1","Pattern2","Mesh24"
3,-6092.61274533076,"Set1","Pattern3","Mesh24"
4,-6198.9754096853,"Set1","Pattern4","Mesh24"
5,-5521.61418333748,"Set1","Pattern5","Mesh24"
6,-2873.978315063,"Set2","Pattern6","Mesh24"
7,-7689.72490162722,"Set2","Pattern7","Mesh24"
8,-5666.74130870737,"Set2","Pattern8","Mesh24"
9,-3725.49321623318,"Set2","Pattern9","Mesh24"
10,-11077.8068743329,"Set2","Pattern10","Mesh24"
11,-261.71465994977,"Set3","Pattern11","Mesh24"
12,-279.87942126663,"Set3","Pattern12","Mesh24"
13,-354.774244504705,"Set3","Pattern13","Mesh24"
14,-358.392582618302,"Set3","Pattern14","Mesh24"
15,-405.455573213312,"Set3","Pattern15","Mesh24"
16,-127.145145994934,"Set4","Pattern16","Mesh24"
17,-597.691554463738,"Set4","Pattern17","Mesh24"
18,-358.123727724507,"Set4","Pattern18","Mesh24"
19,-185.549345612597,"Set4","Pattern19","Mesh24"
20,-720.138268049528,"Set4","Pattern20","Mesh24"
1,-5560.73158224447,"Set1","Pattern1","Mesh25"
2,-5004.10275028466,"Set1","Pattern2","Mesh25"
3,-6129.97513037004,"Set1","Pattern3","Mesh25"
4,-6268.65196552508,"Set1","Pattern4","Mesh25"
5,-5580.54983592354,"Set1","Pattern5","Mesh25"
6,-2889.46543256043,"Set2","Pattern6","Mesh25"
7,-7717.8488427078,"Set2","Pattern7","Mesh25"
8,-5688.07799712296,"Set2","Pattern8","Mesh25"
9,-3756.11589321926,"Set2","Pattern9","Mesh25"
10,-10845.6146149163,"Set2","Pattern10","Mesh25"
11,-262.169022796922,"Set3","Pattern11","Mesh25"
12,-280.458266183313,"Set3","Pattern12","Mesh25"
13,-357.390273102093,"Set3","Pattern13","Mesh25"
14,-358.711190991123,"Set3","Pattern14","Mesh25"
15,-413.541927915917,"Set3","Pattern15","Mesh25"
16,-128.644762367278,"Set4","Pattern16","Mesh25"
17,-603.902410237458,"Set4","Pattern17","Mesh25"
18,-361.406489842966,"Set4","Pattern18","Mesh25"
19,-189.46697079322,"Set4","Pattern19","Mesh25"
20,-730.281322161703,"Set4","Pattern20","Mesh25"
1,-5559.28613444923,"Set1","Pattern1","Mesh26"
2,-4997.22476823535,"Set1","Pattern2","Mesh26"
3,-6130.23486873694,"Set1","Pattern3","Mesh26"
4,-6265.08441020949,"Set1","Pattern4","Mesh26"
5,-5568.45209019646,"Set1","Pattern5","Mesh26"
6,-2888.7448457273,"Set2","Pattern6","Mesh26"
7,-7713.95569974867,"Set2","Pattern7","Mesh26"
8,-5687.31424089738,"Set2","Pattern8","Mesh26"
9,-3757.04506645096,"Set2","Pattern9","Mesh26"
10,-10845.1861765025,"Set2","Pattern10","Mesh26"
11,-262.058140620671,"Set3","Pattern11","Mesh26"
12,-280.41242261139,"Set3","Pattern12","Mesh26"
13,-357.619194634392,"Set3","Pattern13","Mesh26"
14,-358.658464582484,"Set3","Pattern14","Mesh26"
15,-413.562946641779,"Set3","Pattern15","Mesh26"
16,-128.693496209021,"Set4","Pattern16","Mesh26"
17,-604.099876742012,"Set4","Pattern17","Mesh26"
18,-361.49784899591,"Set4","Pattern18","Mesh26"
19,-189.187176423678,"Set4","Pattern19","Mesh26"
20,-730.271070110166,"Set4","Pattern20","Mesh26"
1,-5559.55739575036,"Set1","Pattern1","Mesh27"
2,-5003.04651223805,"Set1","Pattern2","Mesh27"
3,-6138.01896596978,"Set1","Pattern3","Mesh27"
4,-6270.29439249309,"Set1","Pattern4","Mesh27"
5,-5572.99373694884,"Set1","Pattern5","Mesh27"
6,-2889.99111876169,"Set2","Pattern6","Mesh27"
7,-7714.88294299868,"Set2","Pattern7","Mesh27"
8,-5687.78003166552,"Set2","Pattern8","Mesh27"
9,-3757.922998511,"Set2","Pattern9","Mesh27"
10,-10851.1081782239,"Set2","Pattern10","Mesh27"
11,-262.163479498151,"Set3","Pattern11","Mesh27"
