"X","WAIC","Set","Pattern","Mesh"
3,-5960.12923383908,"Set1","Pattern3","Mesh28"
4,-5998.07022807742,"Set1","Pattern4","Mesh28"
5,-5370.56865421379,"Set1","Pattern5","Mesh28"
6,-2844.75237513389,"Set2","Pattern6","Mesh28"
7,-7436.57419965545,"Set2","Pattern7","Mesh28"
8,-5589.98441048667,"Set2","Pattern8","Mesh28"
9,-3662.98073832401,"Set2","Pattern9","Mesh28"
10,-10371.0676058541,"Set2","Pattern10","Mesh28"
11,-261.166524119442,"Set3","Pattern11","Mesh28"
12,-280.107445322439,"Set3","Pattern12","Mesh28"
13,-355.102426304605,"Set3","Pattern13","Mesh28"
14,-358.655959807289,"Set3","Pattern14","Mesh28"
15,-411.201015677577,"Set3","Pattern15","Mesh28"
16,-128.614231657804,"Set4","Pattern16","Mesh28"
17,-596.427982744544,"Set4","Pattern17","Mesh28"
18,-359.317336168345,"Set4","Pattern18","Mesh28"
19,-188.796061389075,"Set4","Pattern19","Mesh28"
20,-715.592493067839,"Set4","Pattern20","Mesh28"
1,-5343.69184255861,"Set1","Pattern1","Mesh29"
2,-4833.64934326114,"Set1","Pattern2","Mesh29"
3,-5961.06113295682,"Set1","Pattern3","Mesh29"
4,-5996.66001558907,"Set1","Pattern4","Mesh29"
5,-5361.70904523775,"Set1","Pattern5","Mesh29"
6,-2842.68698011545,"Set2","Pattern6","Mesh29"
7,-7436.4849465647,"Set2","Pattern7","Mesh29"
8,-5587.25161912123,"Set2","Pattern8","Mesh29"
9,-3653.91076096752,"Set2","Pattern9","Mesh29"
10,-10378.8810233825,"Set2","Pattern10","Mesh29"
11,-261.16835802505,"Set3","Pattern11","Mesh29"
12,-280.050368154003,"Set3","Pattern12","Mesh29"
13,-354.510241023153,"Set3","Pattern13","Mesh29"
14,-358.591530217987,"Set3","Pattern14","Mesh29"
15,-410.496031527819,"Set3","Pattern15","Mesh29"
16,-128.167141221064,"Set4","Pattern16","Mesh29"
17,-595.51075225525,"Set4","Pattern17","Mesh29"
18,-359.39173280478,"Set4","Pattern18","Mesh29"
19,-188.038805113409,"Set4","Pattern19","Mesh29"
20,-713.468297218351,"Set4","Pattern20","Mesh29"
1,-4598.74422816688,"Set1","Pattern1","Mesh3"
2,-4442.08393468073,"Set1","Pattern2","Mesh3"
3,-5240.10706434528,"Set1","Pattern3","Mesh3"
4,-5604.19142971392,"Set1","Pattern4","Mesh3"
5,-4592.36993022426,"Set1","Pattern5","Mesh3"
6,-2454.88464924371,"Set2","Pattern6","Mesh3"
7,-6309.73249557303,"Set2","Pattern7","Mesh3"
8,-5995.70281636287,"Set2","Pattern8","Mesh3"
9,-3136.32937993601,"Set2","Pattern9","Mesh3"
10,-8993.07108503171,"Set2","Pattern10","Mesh3"
11,-253.806189925519,"Set3","Pattern11","Mesh3"
12,-272.240296072904,"Set3","Pattern12","Mesh3"
13,-337.607731823194,"Set3","Pattern13","Mesh3"
14,-352.033067572923,"Set3","Pattern14","Mesh3"
15,-387.056968740457,"Set3","Pattern15","Mesh3"
16,-98.0489976389844,"Set4","Pattern16","Mesh3"
17,-463.072423713721,"Set4","Pattern17","Mesh3"
18,-306.253623951244,"Set4","Pattern18","Mesh3"
19,-151.308844146769,"Set4","Pattern19","Mesh3"
20,-557.516527954403,"Set4","Pattern20","Mesh3"
1,-5330.67319084441,"Set1","Pattern1","Mesh30"
2,-4837.07410951818,"Set1","Pattern2","Mesh30"
3,-5947.60249763954,"Set1","Pattern3","Mesh30"
4,-5993.66345864176,"Set1","Pattern4","Mesh30"
5,-5359.48250092171,"Set1","Pattern5","Mesh30"
6,-2844.81124352908,"Set2","Pattern6","Mesh30"
7,-7410.21717432197,"Set2","Pattern7","Mesh30"
8,-5582.3344259978,"Set2","Pattern8","Mesh30"
9,-3655.28972036781,"Set2","Pattern9","Mesh30"
10,-10371.0073503452,"Set2","Pattern10","Mesh30"
11,-261.044766870309,"Set3","Pattern11","Mesh30"
12,-280.046619945944,"Set3","Pattern12","Mesh30"
13,-354.620155277027,"Set3","Pattern13","Mesh30"
14,-358.551385414498,"Set3","Pattern14","Mesh30"
15,-410.356789949583,"Set3","Pattern15","Mesh30"
16,-128.268878680822,"Set4","Pattern16","Mesh30"
17,-594.32260945812,"Set4","Pattern17","Mesh30"
18,-358.990724640475,"Set4","Pattern18","Mesh30"
19,-187.810970696042,"Set4","Pattern19","Mesh30"
20,-713.475174266416,"Set4","Pattern20","Mesh30"
1,-5338.58643291268,"Set1","Pattern1","Mesh31"
2,-4836.26455819655,"Set1","Pattern2","Mesh31"
3,-5956.95877323056,"Set1","Pattern3","Mesh31"
4,-6000.75091637851,"Set1","Pattern4","Mesh31"
5,-5365.85445232462,"Set1","Pattern5","Mesh31"
6,-2843.85398620209,"Set2","Pattern6","Mesh31"
7,-7429.11235016537,"Set2","Pattern7","Mesh31"
